共 921 部电影

('6.4', '鬼影敲门')
('6.4', '鬼娃的诅咒')
('6.4', '鬼娃回魂2')
('6.4', '闪灵战士')
('6.4', '贞相大白')
('6.4', '触目惊森')
('6.4', '要听神明的话')
('6.4', '脚下')
('6.4', '童子军手册之僵尸启示录')
('6.4', '疯子')
('6.4', '狼人部队')
('6.4', '活死人之地')
('6.4', '泳队惊魂')
('6.4', '月光光心慌慌')
('6.4', '折磨')
('6.4', '惊叫大电影')
('6.4', '怖偶')
('6.4', '小生怕怕')
('6.4', '寄生兽：完结篇')
('6.4', '呼喊')
('6.4', '卢浮魅影')
('6.4', '勾魂谷')
('6.4', '克朗普斯')
('6.4', '僵尸家族')
('6.4', '亡魂岛')
('6.4', '不能说的秘密')
('6.4', '不死的传说')
('6.3', '鬼娃孽种')
('6.3', '鬼三惊2')
('6.3', '高个夜魔')
('6.3', '食女')
('6.3', '险恶')
('6.3', '阴声')
('6.3', '野蛮女人')
('6.3', '连体阴')
('6.3', '证据')
('6.3', '见鬼10')
('6.3', '致命录像带')
('6.3', '致命弯道2')
('6.3', '约翰最后死了')
('6.3', '猛鬼佛跳墙')
('6.3', '狼溪2')
('6.3', '灵动：鬼影实录')
('6.3', '潜伏3')
('6.3', '泥孩')
('6.3', '死亡空间：余波')
('6.3', '橡皮轮胎')
('6.3', '末日病毒')
('6.3', '断绝')
('6.3', '断头气')
('6.3', '探访惊魂')
('6.3', '恶梦侦探')
('6.3', '恐怖愚人节')
('6.3', '怪形前传')
('6.3', '异种')
('6.3', '少女灵异日记')
('6.3', '夺命之爱')
('6.3', '天魔续集')
('6.3', '夜半哭声')
('6.3', '堕入地狱')
('6.3', '变种DNA')
('6.3', '军手册之僵尸启示录')
('6.3', '僵尸来袭')
('6.3', '人魔线索')
('6.3', '亡灵呼唤')
('6.3', 'DNA复制')
('6.3', '506哨所')
('6.3', '13号星期五')
('6.2', '魔鬼末日')
('6.2', '魔女嘉莉')
('6.2', '鬼雾')
('6.2', '鬼讯号2白光')
('6.2', '鬼缠身')
('6.2', '鬼水怪谈')
('6.2', '鬼影人')
('6.2', '鬼女魔咒')
('6.2', '零～zero～')
('6.2', '荒野')
('6.2', '考死：血之期中考试')
('6.2', '维克多·弗兰肯斯坦')
('6.2', '笔仙')
('6.2', '突然有一天之第四层')
('6.2', '电梯里的恶魔')
('6.2', '生存游戏')
('6.2', '生化危机4：战神再生')
('6.2', '猜谜杀手')
('6.2', '火烛鬼')
('6.2', '残秽，不可以住的房间')
('6.2', '死亡占卜2：恶灵始源')
('6.2', '歌茜卡')
('6.2', '新丧尸出笼')
('6.2', '摩根/魔诡')
('6.2', '我知道你去年夏天干了什么')
('6.2', '惊心食人族2')
('6.2', '恐怖废墟')
('6.2', '异形终结')
('6.2', '异常睡眠')
('6.2', '失真的画')
('6.2', '夜雾杀机')
('6.2', '吸血鬼猎人林肯')
('6.2', '古墓凶铃')
('6.2', '午夜凶铃(美版)')
('6.2', '十三猛鬼')
('6.2', '刑柱之地')
('6.2', '农家小屋')
('6.2', '兽餐')
('6.2', '俾鬼捉')
('6.2', '人肉盛宴')
('6.2', '13骇人游戏')
('6.1', '鬼来电完结篇')
('6.1', '解冻')
('6.1', '见鬼2')
('6.1', '美版见鬼')
('6.1', '窥视之眸')
('6.1', '破碎凶间')
('6.1', '狂犬惊魂')
('6.1', '少女椿')
('6.1', '孤独的死亡之所')
('6.1', '妖夜回廊')
('6.1', '头七')
('6.1', '地下墓穴')
('6.1', '圣诞节恐怖故事')
('6.1', '呆呆精灵')
('6.1', '千年决斗')
('6.1', '乌龙骑士团')
('6.1', '不要回头')
('6.1', '不死咒怨2')
('6.1', '三十极夜')
('6', '黑色之家')
('6', '鬼王再生')
('6', '鬼啊鬼啊')
('6', '韩赛尔与格蕾特：女巫猎人')
('6', '青鬼2')
('6', '遗落之地')
('6', '迷失太空')
('6', '致命报应')
('6', '群魔乱舞')
('6', '红衣小女孩')
('6', '离奇剧院')
('6', '白蛇传说')
('6', '狼人')
('6', '狂蟒之灾2')
('6', '灵偶契约')
('6', '灭绝')
('6', '永远的活跳尸')
('6', '死亡拼图')
('6', '收割')
('6', '摩登天师')
('6', '恐怖杀人医院')
('6', '怨鬼之家')
('6', '心魔')
('6', '弗兰肯斯坦的军队')
('6', '异形魔怪2')
('6', '尸油 3D')
('6', '尸忆')
('6', '妄想')
('6', '咒怨(美版)')
('6', '吸血鬼学院')
('6', '凶间疑影')
('6', '傲慢与偏见与僵尸')
('6', '人类清除计划')
('6', '万圣节传说')
('6', 'Z岛')
('5.9', '魔蝎女杀手')
('5.9', '魔窟')
('5.9', '鬼域')
('5.9', '鬼使神差')
('5.9', '面具之后')
('5.9', '青魇')
('5.9', '雪山惊魂')
('5.9', '针孔旅社')
('5.9', '运河迷踪')
('5.9', '躲藏')
('5.9', '解除好友')
('5.9', '街尾之宅')
('5.9', '血色月亮')
('5.9', '美国僵尸')
('5.9', '空无一物')
('5.9', '破坏欲')
('5.9', '毛骨悚然')
('5.9', '杀手们')
('5.9', '杀戮指令')
('5.9', '杀出狂人镇')
('5.9', '最后一次驱魔')
('5.9', '无情')
('5.9', '撞邪先生')
('5.9', '摇滚吸血鬼')
('5.9', '我唾弃你的坟墓2')
('5.9', '惊心食人族')
('5.9', '异种')
('5.9', '吓到笑')
('5.9', '变种女狼2')
('5.9', '信使')
('5.9', 'GeGeGe的鬼太郎：千年咒歌')
('5.8', '黑暗天际')
('5.8', '长牙')
('5.8', '错爱')
('5.8', '致命邻居')
('5.8', '群斗')
('5.8', '美国玛丽')
('5.8', '红色之州')
('5.8', '祭坛')
('5.8', '猛鬼出笼')
('5.8', '海岸大捕怪')
('5.8', '求爱夜惊魂')
('5.8', '死亡约定')
('5.8', '死亡信件')
('5.8', '极道大战争')
('5.8', '末世圣童')
('5.8', '新天师斗僵尸')
('5.8', '搞怪幽灵')
