共 2177 部电影

('7.8', '亡命天涯')
('7.7', '黑色弥撒')
('7.7', '黄飞鸿')
('7.7', '魁拔2')
('7.7', '飞出个未来大电影3：班德的游戏')
('7.7', '铁拳')
('7.7', '超级大坏蛋')
('7.7', '赤色风暴')
('7.7', '西游记之大圣归来')
('7.7', '蝙蝠侠：决战红帽火魔')
('7.7', '耐撕侦探')
('7.7', '细细的红线')
('7.7', '红色警戒')
('7.7', '笑傲江湖')
('7.7', '真英雄')
('7.7', '盗佛线')
('7.7', '玩具总动员之惊魂夜')
('7.7', '猎杀U-571')
('7.7', '狗咬狗')
('7.7', '火海凌云')
('7.7', '楚留香之蝙蝠传奇')
('7.7', '核艇风暴')
('7.7', '星际旅行8：第一类接触')
('7.7', '星球大战前传2：克隆人的进攻')
('7.7', '捕鼠记')
('7.7', '持续惊恐')
('7.7', '我，机器人')
('7.7', '意大利任务')
('7.7', '夺宝奇兵2')
('7.7', '夺命枪火')
('7.7', '叶问')
('7.7', '变相怪杰')
('7.7', '十月围城')
('7.7', '势不两立')
('7.7', '加勒比海盗3：世界的尽头')
('7.7', '兰戈')
('7.7', '一代宗师·叶问')
('7.7', 'U-571')
('7.6', '龙虎少年队2')
('7.6', '黄飞鸿之男儿当自强')
('7.6', '黄飞鸿之二：男儿当自强')
('7.6', '食神')
('7.6', '雷神2：黑暗世界')
('7.6', '速度与激情6')
('7.6', '辣手神探夺命枪')
('7.6', '蝙蝠侠：黑暗骑士归来(上)')
('7.6', '蚁人')
('7.6', '肮脏的哈里')
('7.6', '绣春刀')
('7.6', '窃听风云2')
('7.6', '秘密特工')
('7.6', '科洛弗道10号')
('7.6', '碟中谍5：神秘国度')
('7.6', '疾速追杀')
('7.6', '猎杀红色十月')
('7.6', '爆裂刑警')
('7.6', '海盗')
('7.6', '海扁王')
('7.6', '死亡之雪2')
('7.6', '杀死比尔2')
('7.6', '木乃伊')
('7.6', '最后的城堡')
('7.6', '无法无天')
('7.6', '新热血高校')
('7.6', '怪物之子')
('7.6', '座头市')
('7.6', '太空堡垒卡拉狄加：利刃')
('7.6', '大黎明')
('7.6', '地狱神探')
('7.6', '唐山大兄')
('7.6', '反斗神鹰续集')
('7.6', '卑劣的街头')
('7.6', '兵临城下')
('7.6', '兔侠传奇')
('7.6', '偷天陷阱')
('7.6', '东线情报战')
('7.6', '丁丁历险记')
('7.6', 'X战警前传：金刚狼')
('7.5', '龙虎风云')
('7.5', '龙珠Z：神与神')
('7.5', '黑衣人3')
('7.5', '黄飞鸿之三：狮王争霸')
('7.5', '魔兽')
('7.5', '霍比特人3：五军之战')
('7.5', '雪国列车')
('7.5', '阿克巴大帝')
('7.5', '银河追缉令')
('7.5', '铁翼蓝天')
('7.5', '钢铁侠3')
('7.5', '钢铁侠')
('7.5', '金刚不坏')
('7.5', '野兽刑警')
('7.5', '逆天者')
('7.5', '跳跃大搜查线2封锁彩虹桥')
('7.5', '超人:钢铁之躯')
('7.5', '赌神')
('7.5', '警察故事')
('7.5', '西瓦拉多大决战')
('7.5', '虎胆龙威4')
('7.5', '蒸汽男孩')
('7.5', '苹果核战记2')
('7.5', '苹果核战记')
('7.5', '老炮儿')
('7.5', '第一滴血2')
('7.5', '监视者们')
('7.5', '监视')
('7.5', '生化危机：诅咒')
('7.5', '生化危机')
('7.5', '珍珠港')
('7.5', '狂野时速')
('7.5', '浪客剑心')
('7.5', '死亡证据')
('7.5', '杀回归家路')
('7.5', '杀出个黎明')
('7.5', '朝鲜美女三剑客')
('7.5', '星际迷航3：超越星辰')
('7.5', '星际远征')
('7.5', '星际旅行6：未来之城')
('7.5', '星际旅行2：可汗怒吼')
('7.5', '时空线索')
('7.5', '斯巴达300勇士')
('7.5', '我是杀人犯')
('7.5', '恐怖星球')
('7.5', '怪物史瑞克4')
('7.5', '少数派报告')
('7.5', '导火线')
('7.5', '守望者')
('7.5', '奇门遁甲')
('7.5', '天下无贼')
('7.5', '大内密探零零发')
('7.5', '垂直极限')
('7.5', '围捕')
('7.5', '嗜血狂魔')
('7.5', '哈利·波特与死亡圣器(上)')
('7.5', '和平饭店')
('7.5', '变形金刚2')
('7.5', '危险藏匿')
('7.5', '危机13小时')
('7.5', '危情时速')
('7.5', '印第安纳波利斯号：勇者无惧')
('7.5', '功夫皇帝方世玉')
('7.5', '功夫熊猫:盖世五侠的秘密')
('7.5', '刀马旦')
('7.5', '五亿探长雷洛传I雷老虎')
('7.5', '中途岛之战')
('7.5', '不可饶恕')
('7.5', '一代宗师')
('7.5', '一个人的武林')
('7.5', 'A计划')
('7.5', '24小时：救赎')
('7.4', '马达加斯加2：逃往非洲')
('7.4', '隐秘而伟大')
('7.4', '铁血战士')
('7.4', '谍影重重5')
('7.4', '警界争雄')
('7.4', '美国狙击手')
('7.4', '突袭')
('7.4', '监狱风云Ⅱ逃犯')
('7.4', '生化危机2：启示录')
('7.4', '热血高校2')
('7.4', '热血高校')
('7.4', '消防犬')
('7.4', '汉城大劫案')
('7.4', '杀手悲歌')
('7.4', '未来警察')
('7.4', '暴力史')
('7.4', '星河战队')
('7.4', '无间道3：终极无间')
('7.4', '新龙门客栈')
('7.4', '撕裂的末日')
('7.4', '摇滚黑帮')
('7.4', '扫毒')
('7.4', '惊天夺宝')
('7.4', '忍者神龟')
('7.4', '弯刀')
('7.4', '师父')
('7.4', '少年黄飞鸿之铁马骝')
('7.4', '寒战')
('7.4', '好景在望')
('7.4', '坦克大决战')
('7.4', '圣殿骑士之路尽头的国度')
('7.4', '国家宝藏')
('7.4', '叶问2：宗师传奇')
('7.4', '反斗神鹰')
('7.4', '华沙谍战')
('7.4', '勇敢传说')
('7.4', '勇敢')
('7.4', '冷血悍将')
('7.4', '偷天换日')
('7.4', '伸冤人')
('7.4', '七面人')
('7.4', 'X战警：天启')
('7.4', '92黑玫瑰对黑玫瑰')
('7.3', '黑衣人2')
('7.3', '风语者')
('7.3', '金刚')
('7.3', '重见天日')
('7.3', '速度与激情5')
('7.3', '迷失1971')
('7.3', '辣手警花')
('7.3', '越狱二人组')
('7.3', '超凡蜘蛛侠2')
('7.3', '走到尽头')
('7.3', '赤焰战场')
