共 690 部电影

('7.2', '侏罗纪世界')
('7.2', '你眼中的世界')
('7.2', '2013终极神差')
('7.1', '百慕大三角')
('7.1', '环太平洋')
('7.1', '特种部队：眼镜蛇的崛起')
('7.1', '死亡飞车')
('7.1', '正义联盟：神魔之战')
('7.1', '末世纪暴潮')
('7.1', '暴力街区2：终极')
('7.1', '星际之门')
('7.1', '我是谁')
('7.1', '惊变28天')
('7.1', '彗星来的那一夜')
('7.1', '宝莱坞机器人之恋')
('7.1', '太空堡垒卡拉狄加前传：卡布里卡')
('7.1', '大海怪')
('7.1', '光晕：传奇')
('7', '黑夜传说2：进化')
('7', '饥饿游戏3：嘲笑鸟(下)')
('7', '饥饿游戏3：嘲笑鸟(上)')
('7', '蝙蝠侠：血脉恩仇')
('7', '蝙蝠侠大战超人：正义黎明')
('7', '绿巨人')
('7', '终结者：创世纪')
('7', '现代豪侠传')
('7', '汉江怪物')
('7', '普罗米修斯')
('7', '星际旅行9：起义')
('7', '星际旅行3：石破天惊')
('7', '星际传奇')
('7', '怪物')
('7', '安德的游戏')
('7', '太阳')
('7', '地下理想国')
('7', '变形金刚3')
('7', '分歧者：异类觉醒')
('7', '2077日本锁国')
('7', '2046')
('6.9', '预见未来')
('6.9', '金刚狼')
('6.9', '超能查派')
('6.9', '神鬼至尊')
('6.9', '硬核亨利')
('6.9', '百变星君')
('6.9', '深空失忆')
('6.9', '深海圆疑')
('6.9', '正义联盟：两个地球的危机')
('6.9', '欧罗巴报告')
('6.9', '星际旅行7：斗转星移')
('6.9', '惊魂下一秒')
('6.9', '心慌方·零')
('6.9', '异形魔怪')
('6.9', '太空堡垒卡拉狄加：血与铬')
('6.9', '圣徒')
('6.9', '冲出宁静号')
('6.9', '丧尸出笼')
('6.9', '七海游侠')
('6.9', 'X档案：征服未来')
('6.8', '霹雳游侠2008电影版')
('6.8', '阿童木')
('6.8', '逃出克隆岛')
('6.8', '超能失控')
('6.8', '超人：钢铁之躯')
('6.8', '诡丝')
('6.8', '美国队长')
('6.8', '疯狂外星人')
('6.8', '生化危机：恶化')
('6.8', '生化危机3：灭绝')
('6.8', '生化危机3')
('6.8', '珍爱泉源')
('6.8', '深海狂鲨')
('6.8', '极乐空间')
('6.8', '机械战警2')
('6.8', '未来水世界')
('6.8', '未来学大会')
('6.8', '星际旅行10：复仇女神')
('6.8', '时光大盗')
('6.8', '怪兽大战外星人')
('6.8', '宇宙大灌篮')
('6.8', '太空堡垒—暗影编年')
('6.8', '天降奇兵')
('6.8', '天地大冲撞')
('6.8', '哥斯拉')
('6.8', '命运规划局')
('6.8', '全面回忆')
('6.8', '007大破太空城')
('6.7', '钢铁侠2')
('6.7', '遗落战境')
('6.7', '遗传学歌剧')
('6.7', '迷失太空')
('6.7', '超时空泡泡机')
('6.7', '终结者3')
('6.7', '移动迷宫2')
('6.7', '生命之树')
('6.7', '环形使者')
('6.7', '死城')
('6.7', '星际迷航')
('6.7', '星际传奇2')
('6.7', '我不能死')
('6.7', '忧郁症')
('6.7', '心慌方2：超立方体')
('6.7', '家谱')
('6.7', '太阳浩劫')
('6.7', '天外来菌')
('6.7', '天域战士')
('6.7', '嗜血破晓')
('6.7', '51号星球')
('6.6', '黑洞表面')
('6.6', '魔法禁书目录 剧场版')
('6.6', '鬼铃')
('6.6', '零点定理')
('6.6', '超速度进化')
('6.6', '老师不是人')
('6.6', '终结者2018')
('6.6', '第六日')
('6.6', '泰若星球')
('6.6', '末日预言')
('6.6', '未来战警')
('6.6', '明日世界')
('6.6', '时间规划局')
('6.6', '捧剑者')
('6.6', '夺命高校')
('6.6', '太空堡垒卡拉狄加：计划')
('6.6', '命运之门')
('6.6', '分歧者2：绝地反击')
('6.6', '兵人')
('6.6', '人体异形')
('6.6', '九度空间')
('6.6', '20世纪少年')
('6.5', '黑侠')
('6.5', '魔力玩具盒')
('6.5', '飙风战警')
('6.5', '隐形人')
('6.5', '透明人魔')
('6.5', '透明人')
('6.5', '过关斩将')
('6.5', '超级战舰')
('6.5', '超体')
('6.5', '虫洞效应')
('6.5', '第四类接触')
('6.5', '穿墙隐形人')
('6.5', '神奇绿巨人')
('6.5', '疯狂的麦克斯3')
('6.5', '死亡空间：坍塌')
('6.5', '正义联盟：战争')
('6.5', '来历不明')
('6.5', '机器战警3')
('6.5', '最终幻想')
('6.5', '星际旅行5：终极先锋')
('6.5', '星际传奇3')
('6.5', '星河战队：入侵')
('6.5', '捉鬼敢死队 2')
('6.5', '我,弗兰肯斯坦')
('6.5', '微光城市')
('6.5', '异形大战铁血战士')
('6.5', '幽冥')
('6.5', '幻体：续命游戏')
('6.5', '小精灵续集')
('6.5', '安全没有保障')
('6.5', '在火星上最后的日子')
('6.5', '劫梦惊魂')
('6.5', '刚果惊魂')
('6.5', '冰冻星球')
('6.5', '人类清除计划3')
('6.5', '2002')
('6.4', '银发的阿基多')
('6.4', '通灵神探')
('6.4', '轰天战士决战明日世纪')
('6.4', '越空狂龙')
('6.4', '超能敢死队')
('6.4', '超级战警')
('6.4', '超人归来')
('6.4', '蠢蛋进化论')
('6.4', '蝴蝶效应3：启示')
('6.4', '苹果核战记：阿尔法')
('6.4', '致命拜访')
('6.4', '红色星球')
('6.4', '穿梭者')
('6.4', '神之谜')
('6.4', '睡眠经销商')
('6.4', '独立日：卷土重来')
('6.4', '活死人之地')
('6.4', '沙丘')
('6.4', '星际之门：时空连续')
('6.4', '时空骇客')
('6.4', '时光穿梭')
('6.4', '日本沉没')
('6.4', '摩天大楼')
('6.4', '惊叫大电影')
('6.4', '恐怖入侵')
('6.4', '忍者神龟2：破影而出')
